0.8105976;0.85589092;0.03576582
0.36211437;0.27438837;0.89456372
0.70355816;0.34293988;0.16593994
0.16542732;0.34919783;0.33581962
0.10564745;0.59641318;0.31175144
0.12604926;0.53320242;0.3630265
0.29555203;0.45932322;0.80047663
0.81252994;0.99133466;0.56543731
0.52845671;0.00274382;0.86125031
0.04984305;0.84013123;0.55455449
0.53852653;0.72682096;0.46190324
0.26680332;0.00282056;0.59421481
0.04892979;0.8608729;0.31431647
0.25271812;0.56513284;0.76508887
0.3218888;0.62853529;0.94219539