m1,m2,m3,repository,version,asc1,ac1,total
0.7142857142857143,0.0,1.0,Users,v0.1,0.5657142857142857,0.5657142857142857,0.5657142857142857
0.7142857142857143,0.0,1.0,Users,v0.2,0.5657142857142857,0.5657142857142857,0.5657142857142857
0.7142857142857143,0.0,1.0,Users,v0.3,0.5657142857142857,0.5657142857142857,0.5657142857142857
0.7142857142857143,0.0,1.0,Users,v0.3.0,0.5657142857142857,0.5657142857142857,0.5657142857142857
0.75,0.0,1.0,Users,v0.3.1,0.5775,0.5775,0.5775
0.7777777777777778,0.0,1.0,Users,v0.3.2,0.5866666666666667,0.5866666666666667,0.5866666666666667
0.7777777777777778,0.0,1.0,Users,v1.0.0,0.5866666666666667,0.5866666666666667,0.5866666666666667
0.6363636363636364,0.0,1.0,Users,v1.0.1,0.54,0.54,0.54
0.6363636363636364,0.0,1.0,Users,v1.0.2,0.54,0.54,0.54
0.75,0.0,0.75,Sectors,v0.1.0,0.495,0.495,0.495
0.7777777777777778,0.0,0.7777777777777778,Sectors,v0.1.1,0.5133333333333334,0.5133333333333334,0.5133333333333334
0.75,0.0,0.75,Sectors,v1.0,0.495,0.495,0.495
0.75,0.0,0.75,Sectors,v1.0.0,0.495,0.495,0.495
0.75,0.0,1.0,Sectors,v1.0.1,0.5775,0.5775,0.5775
0.75,0.0,1.0,Sectors,v1.1.0,0.5775,0.5775,0.5775
0.6666666666666666,0.0,1.0,Sectors,v1.1.1,0.55,0.55,0.55
0.6666666666666666,0.0,0.9710144927536232,Frontend,v0.1,0.5404347826086957,0.5404347826086957,0.5404347826086957
0.6666666666666666,0.0,0.9710144927536232,Frontend,v0.10.0,0.5404347826086957,0.5404347826086957,0.5404347826086957
0.6666666666666666,0.0,0.9710144927536232,Frontend,v0.10.1,0.5404347826086957,0.5404347826086957,0.5404347826086957
0.6495726495726496,0.0,0.9658119658119658,Frontend,v0.10.2,0.5330769230769231,0.5330769230769231,0.5330769230769231
0.6470588235294118,0.0,0.9831932773109243,Frontend,v0.11.0,0.5379831932773109,0.5379831932773109,0.5379831932773109
0.6470588235294118,0.0,0.9831932773109243,Frontend,v0.11.1,0.5379831932773109,0.5379831932773109,0.5379831932773109
0.6470588235294118,0.0,0.9831932773109243,Frontend,v0.12.0,0.5379831932773109,0.5379831932773109,0.5379831932773109
0.65,0.0,0.9833333333333333,Frontend,v0.13.0,0.539,0.539,0.539
0.65,0.0,0.9833333333333333,Frontend,v0.14.0,0.539,0.539,0.539
0.6611570247933884,0.0,0.9752066115702479,Frontend,v0.14.1,0.54,0.54,0.54
0.6666666666666666,0.0,0.9710144927536232,Frontend,v0.2,0.5404347826086957,0.5404347826086957,0.5404347826086957
0.6666666666666666,0.0,0.9710144927536232,Frontend,v0.3,0.5404347826086957,0.5404347826086957,0.5404347826086957
0.6666666666666666,0.0,0.9710144927536232,Frontend,v0.4,0.5404347826086957,0.5404347826086957,0.5404347826086957
0.6666666666666666,0.0,0.9710144927536232,Frontend,v0.5,0.5404347826086957,0.5404347826086957,0.5404347826086957
0.6666666666666666,0.0,0.9710144927536232,Frontend,v0.6,0.5404347826086957,0.5404347826086957,0.5404347826086957
0.6666666666666666,0.0,0.9710144927536232,Frontend,v0.7,0.5404347826086957,0.5404347826086957,0.5404347826086957
0.6666666666666666,0.0,0.9710144927536232,Frontend,v0.8,0.5404347826086957,0.5404347826086957,0.5404347826086957
0.6666666666666666,0.0,0.9710144927536232,Frontend,v0.9,0.5404347826086957,0.5404347826086957,0.5404347826086957
0.6666666666666666,0.0,0.9710144927536232,Frontend,v0.9.0,0.5404347826086957,0.5404347826086957,0.5404347826086957
0.6611570247933884,0.0,0.9752066115702479,Frontend,v1.0.0,0.54,0.54,0.54
0.6694214876033058,0.0,0.9752066115702479,Frontend,v1.1.0,0.5427272727272727,0.5427272727272727,0.5427272727272727
0.6694214876033058,0.0,0.9752066115702479,Frontend,v1.2.0,0.5427272727272727,0.5427272727272727,0.5427272727272727
0.6666666666666666,0.0,0.9761904761904762,Frontend,v1.3.0,0.5421428571428571,0.5421428571428571,0.5421428571428571
0.6666666666666666,0.0,0.9761904761904762,Frontend,v1.3.1,0.5421428571428571,0.5421428571428571,0.5421428571428571
0.6666666666666666,0.0,0.9761904761904762,Frontend,v1.3.2,0.5421428571428571,0.5421428571428571,0.5421428571428571
0.6692913385826772,0.0,0.9763779527559056,Frontend,v1.3.3,0.5430708661417323,0.5430708661417323,0.5430708661417323
0.6666666666666666,0.0,0.9767441860465116,Frontend,v1.4.0,0.5423255813953488,0.5423255813953488,0.5423255813953488
0.6666666666666666,0.0,0.9767441860465116,Frontend,v1.4.1,0.5423255813953488,0.5423255813953488,0.5423255813953488
0.6666666666666666,0.0,0.9767441860465116,Frontend,v1.4.2,0.5423255813953488,0.5423255813953488,0.5423255813953488
0.6666666666666666,0.0,0.9767441860465116,Frontend,v1.4.3,0.5423255813953488,0.5423255813953488,0.5423255813953488
0.6615384615384615,0.0,0.9769230769230769,Frontend,v1.5.0,0.5406923076923077,0.5406923076923077,0.5406923076923077
0.6641221374045801,0.0,0.9923664122137404,Frontend,v1.5.1,0.5466412213740458,0.5466412213740458,0.5466412213740458
0.6616541353383458,0.007518796992481203,0.9924812030075187,Frontend,v1.6.0,0.5483458646616541,0.5483458646616541,0.5483458646616541
0.6594202898550725,0.007246376811594203,0.9927536231884058,Frontend,v1.7.0,0.547608695652174,0.547608695652174,0.547608695652174
0.6594202898550725,0.007246376811594203,0.9927536231884058,Frontend,v1.7.1,0.547608695652174,0.547608695652174,0.547608695652174
0.6594202898550725,0.007246376811594203,0.9927536231884058,Frontend,v1.7.2,0.547608695652174,0.547608695652174,0.547608695652174
0.6594202898550725,0.007246376811594203,0.9927536231884058,Frontend,v1.8.0,0.547608695652174,0.547608695652174,0.547608695652174
0.6527777777777778,0.013888888888888888,0.9930555555555556,Frontend,v1.9.0,0.5477083333333334,0.5477083333333334,0.5477083333333334
0.6527777777777778,0.013888888888888888,0.9930555555555556,Frontend,v1.9.1,0.5477083333333334,0.5477083333333334,0.5477083333333334
0.6,0.0,1.0,Demands,v0.1,0.528,0.528,0.528
0.6,0.0,1.0,Demands,v0.2,0.528,0.528,0.528
0.6,0.0,1.0,Demands,v0.3,0.528,0.528,0.528
0.6,0.0,1.0,Demands,v0.4,0.528,0.528,0.528
0.6,0.0,1.0,Demands,v0.4.0,0.528,0.528,0.528
0.6,0.0,1.0,Demands,v0.5.0,0.528,0.528,0.528
0.6,0.0,1.0,Demands,v0.5.1,0.528,0.528,0.528
0.7,0.0,1.0,Demands,v0.5.2,0.5609999999999999,0.5609999999999999,0.5609999999999999
0.7,0.0,1.0,Demands,v0.6.0,0.5609999999999999,0.5609999999999999,0.5609999999999999
0.7,0.0,1.0,Demands,v0.7.0,0.5609999999999999,0.5609999999999999,0.5609999999999999
0.7,0.0,1.0,Demands,v0.8.0,0.5609999999999999,0.5609999999999999,0.5609999999999999
0.7,0.0,1.0,Demands,v0.9.0,0.5609999999999999,0.5609999999999999,0.5609999999999999
0.7,0.0,1.0,Demands,v1.0.0,0.5609999999999999,0.5609999999999999,0.5609999999999999
0.7,0.0,1.0,Demands,v1.1.0,0.5609999999999999,0.5609999999999999,0.5609999999999999
0.7058823529411765,0.0,1.0,Demands,v1.2.0,0.5629411764705883,0.5629411764705883,0.5629411764705883
0.6842105263157895,0.0,0.9473684210526315,Demands,v1.3.0,0.5384210526315789,0.5384210526315789,0.5384210526315789
0.6842105263157895,0.0,0.9473684210526315,Demands,v1.4.0,0.5384210526315789,0.5384210526315789,0.5384210526315789
0.6842105263157895,0.0,0.9473684210526315,Demands,v1.4.1,0.5384210526315789,0.5384210526315789,0.5384210526315789
0.75,0.0,1.0,Clients,V1.0.0,0.5775,0.5775,0.5775
0.75,0.0,1.0,Clients,V1.0.1,0.5775,0.5775,0.5775
0.7142857142857143,0.0,0.9285714285714286,Clients,V1.1.0,0.5421428571428571,0.5421428571428571,0.5421428571428571
0.7142857142857143,0.0,0.9285714285714286,Clients,V1.1.1,0.5421428571428571,0.5421428571428571,0.5421428571428571
0.6,0.0,1.0,Clients,v0.1,0.528,0.528,0.528
0.6,0.0,1.0,Clients,v0.2,0.528,0.528,0.528
0.75,0.0,1.0,Clients,v0.3,0.5775,0.5775,0.5775
0.75,0.0,1.0,Clients,v0.3.0,0.5775,0.5775,0.5775
0.6,0.0,1.0,Clients,v0.3.1,0.528,0.528,0.528
0.7142857142857143,0.0,0.9285714285714286,Clients,v0.3.2,0.5421428571428571,0.5421428571428571,0.5421428571428571
